,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
38,James,Chester,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42,2,DEF,45,AVL
39,Neil,Taylor,0,0,22,1088,25,79.7,157.6,29.0,0,163,26.7,2,0,2,0.2,42,2,DEF,45,AVL
40,Kortney,Hause,1,0,34,1544,34,33.0,352.8,248.0,0,204,63.4,2,0,3,0.1,44,2,DEF,45,AVL
41,Jonathan,Kodjia,0,0,5,111,6,12.2,3.4,24.0,0,14,3.8,0,0,1,0.1,54,4,FWD,55,AVL
42,Ørjan,Nyland,0,0,15,537,12,0.0,101.2,0.0,0,90,10.2,1,0,0,0.4,43,1,GK,45,AVL
43,Conor,Hourihane,3,5,83,1526,29,551.8,384.8,317.0,9,328,125.3,6,0,4,0.2,57,3,MID,60,AVL
44,Jack,Grealish,8,7,149,3233,63,1209.2,826.6,837.0,19,601,287.0,7,0,8,14.4,59,3,MID,60,AVL
45,Anwar,El Ghazi,4,5,93,2046,48,482.2,383.2,655.0,0,281,152.0,5,0,3,0.7,52,3,MID,55,AVL
46,John,McGinn,3,3,84,2312,41,503.3,458.6,499.0,4,321,145.9,6,0,3,2.6,52,3,MID,55,AVL
47,Andre,Green,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,3,MID,50,AVL
48,Birkir,Bjarnason,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,AVL
49,Keinan,Davis,0,1,25,534,7,71.7,27.8,212.0,0,43,29.9,1,0,0,0.3,42,3,MID,45,AVL
50,Henri,Lansbury,0,0,12,190,6,27.2,13.4,13.0,0,37,5.5,0,0,0,0.3,44,3,MID,45,AVL
51,José Ignacio,Peleteiro Romallo,0,1,17,329,5,56.9,47.0,73.0,0,48,17.3,2,0,0,0.2,57,3,MID,60,AVL
52,Tom,Heaton,0,0,59,1794,35,0.3,507.4,0.0,3,346,50.7,4,0,0,2.1,43,1,GK,45,AVL
53,Daniel,Drinkwater,0,0,6,317,11,21.2,18.6,8.0,0,32,4.7,0,0,1,0.5,44,3,MID,45,AVL
54,Matt,Targett,1,3,80,2291,40,432.9,503.8,130.0,10,433,106.9,5,0,4,1.1,43,2,DEF,45,AVL
55,Wesley,Moraes,5,1,67,1782,31,169.8,296.2,632.0,7,180,108.3,6,0,3,0.8,54,4,FWD,60,AVL
56,Jed,Steer,0,0,1,7,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,43,1,GK,45,AVL
57,Tyrone,Mings,2,2,90,2902,53,87.3,758.0,119.0,9,537,96.6,6,0,7,3.3,44,2,DEF,45,AVL
58,Ezri,Konsa Ngoyo,1,2,65,2038,39,151.8,400.6,173.0,4,335,72.8,5,0,3,0.2,43,2,DEF,45,AVL
59,Bjorn,Engels,1,0,42,1446,32,31.9,329.6,81.0,4,252,44.5,3,0,1,0.4,43,2,DEF,45,AVL
60,Frédéric,Guilbert,0,2,62,2038,36,241.5,451.2,77.0,4,342,77.2,6,0,7,0.4,43,2,DEF,45,AVL
61,Mahmoud Ahmed,Ibrahim Hassan,6,2,98,1936,29,303.7,422.4,741.0,7,270,145.7,6,1,2,1.8,52,3,MID,55,AVL
62,Douglas Luiz,Soares de Paulo,3,2,90,2604,51,293.2,508.6,377.0,5,411,118.0,8,0,8,3.7,43,3,MID,45,AVL
63,Lovre,Kalinic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42,1,GK,45,AVL
64,Marvelous,Nakamba,0,0,43,1826,37,162.9,292.2,24.0,0,273,47.9,1,0,5,0.6,44,3,MID,45,AVL
65,Indiana,Vassilev,0,0,4,47,1,1.6,1.2,7.0,0,8,0.9,0,0,0,0.0,45,3,MID,45,AVL
66,José,Reina,0,0,41,1080,20,10.0,289.4,0.0,4,203,30.0,2,0,1,1.1,42,1,GK,45,AVL
67,Mbwana,Samatta,1,0,29,940,18,131.5,67.6,245.0,2,74,44.2,4,0,1,0.2,51,4,FWD,60,AVL
68,Borja,González Tomás,0,0,2,16,2,1.7,0.2,2.0,0,5,0.4,0,0,0,0.0,53,4,FWD,55,AVL
69,Kaine,Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,AVL
70,Steve,Cook,1,0,52,2427,48,51.5,557.2,159.0,5,362,77.2,3,1,6,0.2,50,2,DEF,50,BOU
71,Nathan,Aké,2,2,79,2503,46,92.7,691.2,326.0,6,499,111.0,4,0,2,6.0,48,2,DEF,50,BOU
72,Charlie,Daniels,0,0,3,126,2,29.6,22.4,0.0,0,18,5.2,0,0,0,0.1,42,2,DEF,45,BOU
73,Chris,Mepham,1,0,27,911,19,20.8,276.8,138.0,2,165,43.7,1,0,1,0.6,43,2,DEF,45,BOU
74,Simon,Francis,0,0,16,964,21,64.4,263.8,72.0,1,161,40.2,1,1,3,0.0,43,2,DEF,45,BOU
75,Adam,Smith,0,1,49,2055,40,183.0,309.6,97.0,3,309,58.8,4,0,7,0.4,43,2,DEF,45,BOU
76,Lloyd,Kelly,0,0,11,638,15,28.4,73.4,20.0,0,85,12.2,1,0,2,0.1,44,2,DEF,45,BOU
77,Diego,Rico,0,5,84,2333,38,558.9,596.6,96.0,10,463,125.5,6,0,6,7.3,42,2,DEF,40,BOU
78,Jack,Simpson,0,0,4,238,6,12.7,33.6,18.0,0,33,6.4,0,0,0,7.8,39,2,DEF,40,BOU
79,Callum,Wilson,8,6,116,2906,53,391.1,397.4,848.0,8,321,162.6,4,0,9,4.2,74,4,FWD,80,BOU
80,Joshua,King,6,5,99,2010,37,412.7,435.8,506.0,11,313,135.1,4,0,0,3.3,61,4,FWD,65,BOU
81,Dominic,Solanke,3,2,69,1637,39,202.5,223.2,569.0,3,177,99.4,1,0,1,0.4,51,4,FWD,55,BOU
